MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
158.2813957631588,0.28882759786210954,1024,16,0,1775870755,,False,1,1e623727,2026-04-10_20-25-55,7.9740025997161865,7.9740025997161865,10560,DESKTOP-6E08LRQ,127.0.0.1,7.9740025997161865,1
158.15372002124786,0.36287899434682913,2048,32,0,1775870762,,False,2,1e623727,2026-04-10_20-26-02,6.9517481327056885,14.925750732421875,10560,DESKTOP-6E08LRQ,127.0.0.1,14.925750732421875,2
134.34893855452538,0.4980876313056797,3072,48,0,1775870769,,False,3,1e623727,2026-04-10_20-26-09,7.41731595993042,22.343066692352295,10560,DESKTOP-6E08LRQ,127.0.0.1,22.343066692352295,3
159.50029051303864,0.5407319844234735,4096,64,0,1775870776,,False,4,1e623727,2026-04-10_20-26-16,7.364332437515259,29.707399129867554,10560,DESKTOP-6E08LRQ,127.0.0.1,29.707399129867554,4
113.22947162389755,0.6017028758651577,5120,80,0,1775870785,,False,5,1e623727,2026-04-10_20-26-25,8.337665319442749,38.0450644493103,10560,DESKTOP-6E08LRQ,127.0.0.1,38.0450644493103,5
91.87586683034897,0.6324121286161244,6144,96,0,1775870793,,False,6,1e623727,2026-04-10_20-26-33,8.767504453659058,46.81256890296936,10560,DESKTOP-6E08LRQ,127.0.0.1,46.81256890296936,6
132.67981879413128,0.565923762624152,7168,112,0,1775870801,,False,7,1e623727,2026-04-10_20-26-41,7.3193817138671875,54.13195061683655,10560,DESKTOP-6E08LRQ,127.0.0.1,54.13195061683655,7
127.4220077842474,0.6135906397830695,8192,128,0,1775870809,,False,8,1e623727,2026-04-10_20-26-49,7.830297470092773,61.96224808692932,10560,DESKTOP-6E08LRQ,127.0.0.1,61.96224808692932,8
150.6294740587473,0.5799990474479273,9216,144,0,1775870816,,False,9,1e623727,2026-04-10_20-26-56,7.807298183441162,69.76954627037048,10560,DESKTOP-6E08LRQ,127.0.0.1,69.76954627037048,9
112.06506563723087,0.6168507282854989,10240,160,0,1775870825,,False,10,1e623727,2026-04-10_20-27-05,8.18218469619751,77.951730966568,10560,DESKTOP-6E08LRQ,127.0.0.1,77.951730966568,10
88.03381311893463,0.635673895245418,11264,176,0,1775870832,,False,11,1e623727,2026-04-10_20-27-12,7.661265850067139,85.61299681663513,10560,DESKTOP-6E08LRQ,127.0.0.1,85.61299681663513,11
83.54769910871983,0.6809241112496238,12288,192,0,1775870841,,False,12,1e623727,2026-04-10_20-27-21,8.598587989807129,94.21158480644226,10560,DESKTOP-6E08LRQ,127.0.0.1,94.21158480644226,12
114.87040209770203,0.6473225047811866,13312,208,0,1775870849,,False,13,1e623727,2026-04-10_20-27-29,8.294044971466064,102.50562977790833,10560,DESKTOP-6E08LRQ,127.0.0.1,102.50562977790833,13
152.46925777196884,0.6004259776091203,14336,224,0,1775870857,,False,14,1e623727,2026-04-10_20-27-37,7.837367057800293,110.34299683570862,10560,DESKTOP-6E08LRQ,127.0.0.1,110.34299683570862,14
119.11924013495445,0.6100884528132156,15360,240,0,1775870865,,False,15,1e623727,2026-04-10_20-27-45,8.256679058074951,118.59967589378357,10560,DESKTOP-6E08LRQ,127.0.0.1,118.59967589378357,15
138.24160601198673,0.6267281681066379,16384,256,0,1775870873,,False,16,1e623727,2026-04-10_20-27-53,7.692281007766724,126.2919569015503,10560,DESKTOP-6E08LRQ,127.0.0.1,126.2919569015503,16
128.26779571175575,0.621381209930405,17408,272,0,1775870881,,False,17,1e623727,2026-04-10_20-28-01,8.103664636611938,134.39562153816223,10560,DESKTOP-6E08LRQ,127.0.0.1,134.39562153816223,17
140.55940526723862,0.6358638113597408,18432,288,1,1775870889,,False,18,1e623727,2026-04-10_20-28-09,7.7346320152282715,142.1302535533905,10560,DESKTOP-6E08LRQ,127.0.0.1,142.1302535533905,18
104.89091585576534,0.6519691901048645,19456,304,1,1775870896,,False,19,1e623727,2026-04-10_20-28-16,7.481404542922974,149.61165809631348,10560,DESKTOP-6E08LRQ,127.0.0.1,149.61165809631348,19
100.5819993019104,0.6403310204623267,20480,320,1,1775870904,,False,20,1e623727,2026-04-10_20-28-24,7.363915205001831,156.9755733013153,10560,DESKTOP-6E08LRQ,127.0.0.1,156.9755733013153,20
121.09632669389248,0.6385479103773832,21504,336,1,1775870912,,False,21,1e623727,2026-04-10_20-28-32,7.9162561893463135,164.89182949066162,10560,DESKTOP-6E08LRQ,127.0.0.1,164.89182949066162,21
111.32425859570503,0.6503070738981478,22528,352,1,1775870919,,False,22,1e623727,2026-04-10_20-28-39,7.882279396057129,172.77410888671875,10560,DESKTOP-6E08LRQ,127.0.0.1,172.77410888671875,22
88.55260175466537,0.6632181381573901,23552,368,1,1775870928,,False,23,1e623727,2026-04-10_20-28-48,8.25643277168274,181.0305416584015,10560,DESKTOP-6E08LRQ,127.0.0.1,181.0305416584015,23
99.84128481149673,0.6245017779874615,24576,384,1,1775870935,,False,24,1e623727,2026-04-10_20-28-55,7.633009195327759,188.66355085372925,10560,DESKTOP-6E08LRQ,127.0.0.1,188.66355085372925,24
72.57614685595036,0.7166560334153473,25600,400,1,1775870944,,False,25,1e623727,2026-04-10_20-29-04,8.303926467895508,196.96747732162476,10560,DESKTOP-6E08LRQ,127.0.0.1,196.96747732162476,25
128.81313313543797,0.6815843858057633,26624,416,1,1775870951,,False,26,1e623727,2026-04-10_20-29-11,7.580737113952637,204.5482144355774,10560,DESKTOP-6E08LRQ,127.0.0.1,204.5482144355774,26
82.53318446874619,0.6424355082563125,27648,432,1,1775870959,,False,27,1e623727,2026-04-10_20-29-19,7.751189947128296,212.2994043827057,10560,DESKTOP-6E08LRQ,127.0.0.1,212.2994043827057,27
97.66497501730919,0.6733520964626223,28672,448,1,1775870967,,False,28,1e623727,2026-04-10_20-29-27,7.736904621124268,220.03630900382996,10560,DESKTOP-6E08LRQ,127.0.0.1,220.03630900382996,28
91.15453444421291,0.6901015339535661,29696,464,1,1775870975,,False,29,1e623727,2026-04-10_20-29-35,7.752293109893799,227.78860211372375,10560,DESKTOP-6E08LRQ,127.0.0.1,227.78860211372375,29
91.8396686911583,0.7132656297180802,30720,480,1,1775870982,,False,30,1e623727,2026-04-10_20-29-42,7.548006057739258,235.336608171463,10560,DESKTOP-6E08LRQ,127.0.0.1,235.336608171463,30
