MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
189.45481324195862,0.3068525798880728,1024,32,0,1774149159,,False,1,526db188,2026-03-21_22-12-39,10.851285219192505,10.851285219192505,4592,DESKTOP-6E08LRQ,127.0.0.1,10.851285219192505,1
168.59488880634308,0.35092754451397923,2048,64,0,1774149172,,False,2,526db188,2026-03-21_22-12-52,12.209657192230225,23.06094241142273,4592,DESKTOP-6E08LRQ,127.0.0.1,23.06094241142273,2
165.58324825763702,0.3401758186200823,3072,96,0,1774149186,,False,3,526db188,2026-03-21_22-13-06,14.45280933380127,37.513751745224,4592,DESKTOP-6E08LRQ,127.0.0.1,37.513751745224,3
171.93793588876724,0.45636224551890336,4096,128,0,1774149200,,False,4,526db188,2026-03-21_22-13-20,13.629666805267334,51.14341855049133,4592,DESKTOP-6E08LRQ,127.0.0.1,51.14341855049133,4
141.02003329992294,0.4934398137589824,5120,160,0,1774149215,,False,5,526db188,2026-03-21_22-13-35,15.820874452590942,66.96429300308228,4592,DESKTOP-6E08LRQ,127.0.0.1,66.96429300308228,5
163.66339725255966,0.4700876328133745,6144,192,0,1774149231,,False,6,526db188,2026-03-21_22-13-51,15.656322479248047,82.62061548233032,4592,DESKTOP-6E08LRQ,127.0.0.1,82.62061548233032,6
127.97874104976654,0.46822274969599675,7168,224,0,1774149248,,False,7,526db188,2026-03-21_22-14-08,17.141844987869263,99.76246047019958,4592,DESKTOP-6E08LRQ,127.0.0.1,99.76246047019958,7
166.0165936946869,0.4768895647030149,8192,256,0,1774149265,,False,8,526db188,2026-03-21_22-14-25,16.44569420814514,116.20815467834473,4592,DESKTOP-6E08LRQ,127.0.0.1,116.20815467834473,8
175.90824329853058,0.46734483596810605,9216,288,0,1774149281,,False,9,526db188,2026-03-21_22-14-41,16.245004892349243,132.45315957069397,4592,DESKTOP-6E08LRQ,127.0.0.1,132.45315957069397,9
159.90440034866333,0.4881780204595998,10240,320,0,1774149299,,False,10,526db188,2026-03-21_22-14-59,17.890845775604248,150.34400534629822,4592,DESKTOP-6E08LRQ,127.0.0.1,150.34400534629822,10
147.9461197257042,0.5373695533780847,11264,352,0,1774149314,,False,11,526db188,2026-03-21_22-15-14,15.143792867660522,165.48779821395874,4592,DESKTOP-6E08LRQ,127.0.0.1,165.48779821395874,11
173.83569633960724,0.4611359862610698,12288,384,0,1774149328,,False,12,526db188,2026-03-21_22-15-28,14.117985725402832,179.60578393936157,4592,DESKTOP-6E08LRQ,127.0.0.1,179.60578393936157,12
157.32932621240616,0.47242965272744186,13312,416,0,1774149346,,False,13,526db188,2026-03-21_22-15-46,17.38771653175354,196.9935004711151,4592,DESKTOP-6E08LRQ,127.0.0.1,196.9935004711151,13
130.84995460510254,0.5292863959039096,14336,448,0,1774149363,,False,14,526db188,2026-03-21_22-16-03,17.6162691116333,214.6097695827484,4592,DESKTOP-6E08LRQ,127.0.0.1,214.6097695827484,14
143.36843198537827,0.535900069604395,15360,480,0,1774149378,,False,15,526db188,2026-03-21_22-16-18,15.343996047973633,229.95376563072205,4592,DESKTOP-6E08LRQ,127.0.0.1,229.95376563072205,15
171.99442368745804,0.5215759533748496,16384,512,0,1774149395,,True,16,526db188,2026-03-21_22-16-35,16.980241060256958,246.934006690979,4592,DESKTOP-6E08LRQ,127.0.0.1,246.934006690979,16
