MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
94.26499220728874,0.43935082093958044,1024,16,0,1776598686,,False,1,f67b700d,2026-04-19_06-38-06,10.921582698822021,10.921582698822021,12400,DESKTOP-6E08LRQ,127.0.0.1,10.921582698822021,1
141.34084904193878,0.4767903609899804,2048,32,0,1776598696,,False,2,f67b700d,2026-04-19_06-38-16,10.15660810470581,21.078190803527832,12400,DESKTOP-6E08LRQ,127.0.0.1,21.078190803527832,2
151.35397815704346,0.43319932831218466,3072,48,0,1776598707,,False,3,f67b700d,2026-04-19_06-38-27,10.140146493911743,31.218337297439575,12400,DESKTOP-6E08LRQ,127.0.0.1,31.218337297439575,3
181.8255077600479,0.4304579494855716,4096,64,0,1776598717,,False,4,f67b700d,2026-04-19_06-38-37,10.550172805786133,41.76851010322571,12400,DESKTOP-6E08LRQ,127.0.0.1,41.76851010322571,4
199.37560141086578,0.40039009030442685,5120,80,0,1776598728,,False,5,f67b700d,2026-04-19_06-38-48,10.445428609848022,52.21393871307373,12400,DESKTOP-6E08LRQ,127.0.0.1,52.21393871307373,5
122.42789953947067,0.5114937172256759,6144,96,0,1776598738,,False,6,f67b700d,2026-04-19_06-38-58,10.406819105148315,62.620757818222046,12400,DESKTOP-6E08LRQ,127.0.0.1,62.620757818222046,6
138.00369937717915,0.5929828370572068,7168,112,0,1776598749,,False,7,f67b700d,2026-04-19_06-39-09,10.726993083953857,73.3477509021759,12400,DESKTOP-6E08LRQ,127.0.0.1,73.3477509021759,7
103.47036561369896,0.6501407885807566,8192,128,0,1776598759,,False,8,f67b700d,2026-04-19_06-39-19,10.665961503982544,84.01371240615845,12400,DESKTOP-6E08LRQ,127.0.0.1,84.01371240615845,8
117.27480544149876,0.6674468162236735,9216,144,0,1776598770,,False,9,f67b700d,2026-04-19_06-39-30,10.75192904472351,94.76564145088196,12400,DESKTOP-6E08LRQ,127.0.0.1,94.76564145088196,9
98.33755549043417,0.6407560497755185,10240,160,0,1776598781,,False,10,f67b700d,2026-04-19_06-39-41,10.8228600025177,105.58850145339966,12400,DESKTOP-6E08LRQ,127.0.0.1,105.58850145339966,10
172.1277518570423,0.5254343228298239,11264,176,0,1776598792,,False,11,f67b700d,2026-04-19_06-39-52,10.99692177772522,116.58542323112488,12400,DESKTOP-6E08LRQ,127.0.0.1,116.58542323112488,11
120.40952742099762,0.6716762368450873,12288,192,0,1776598803,,False,12,f67b700d,2026-04-19_06-40-03,10.918554782867432,127.50397801399231,12400,DESKTOP-6E08LRQ,127.0.0.1,127.50397801399231,12
96.59545588493347,0.6629144458565861,13312,208,0,1776598814,,False,13,f67b700d,2026-04-19_06-40-14,10.823166847229004,138.3271448612213,12400,DESKTOP-6E08LRQ,127.0.0.1,138.3271448612213,13
118.21315932273865,0.5103530703345314,14336,224,0,1776598825,,False,14,f67b700d,2026-04-19_06-40-25,11.133987665176392,149.4611325263977,12400,DESKTOP-6E08LRQ,127.0.0.1,149.4611325263977,14
107.28072726726532,0.6259134634165093,15360,240,0,1776598836,,False,15,f67b700d,2026-04-19_06-40-36,11.0590238571167,160.5201563835144,12400,DESKTOP-6E08LRQ,127.0.0.1,160.5201563835144,15
76.13021894544363,0.6207480711163953,16384,256,0,1776598847,,True,16,f67b700d,2026-04-19_06-40-47,10.903141975402832,171.42329835891724,12400,DESKTOP-6E08LRQ,127.0.0.1,171.42329835891724,16
