MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
58.40175437927246,0.6757053571054712,1024,32,0,1779582206,,False,1,17b67055,2026-05-23_19-23-26,7.636253595352173,7.636253595352173,11612,DESKTOP-6E08LRQ,127.0.0.1,7.636253595352173,1
27.856016531586647,0.8024214981123805,2048,64,0,1779582213,,False,2,17b67055,2026-05-23_19-23-33,7.031643867492676,14.667897462844849,11612,DESKTOP-6E08LRQ,127.0.0.1,14.667897462844849,2
36.77948234975338,0.8200081717222929,3072,96,0,1779582220,,False,3,17b67055,2026-05-23_19-23-40,7.40261435508728,22.07051181793213,11612,DESKTOP-6E08LRQ,127.0.0.1,22.07051181793213,3
32.713414683938026,0.8440500753931701,4096,128,0,1779582227,,False,4,17b67055,2026-05-23_19-23-47,7.231441020965576,29.301952838897705,11612,DESKTOP-6E08LRQ,127.0.0.1,29.301952838897705,4
23.80645292252302,0.857628146186471,5120,160,1,1779582234,,False,5,17b67055,2026-05-23_19-23-54,6.618915557861328,35.92086839675903,11612,DESKTOP-6E08LRQ,127.0.0.1,35.92086839675903,5
20.492639139294624,0.8819742309860885,6144,192,1,1779582241,,False,6,17b67055,2026-05-23_19-24-01,7.016112327575684,42.93698072433472,11612,DESKTOP-6E08LRQ,127.0.0.1,42.93698072433472,6
27.85225922614336,0.8922310061752796,7168,224,1,1779582248,,False,7,17b67055,2026-05-23_19-24-08,6.8425374031066895,49.779518127441406,11612,DESKTOP-6E08LRQ,127.0.0.1,49.779518127441406,7
35.90649361908436,0.8814344143029302,8192,256,1,1779582255,,False,8,17b67055,2026-05-23_19-24-15,6.74139928817749,56.5209174156189,11612,DESKTOP-6E08LRQ,127.0.0.1,56.5209174156189,8
22.84116404503584,0.8859790191054344,9216,288,2,1779582262,,False,9,17b67055,2026-05-23_19-24-22,6.824125289916992,63.34504270553589,11612,DESKTOP-6E08LRQ,127.0.0.1,63.34504270553589,9
25.807403661310673,0.8380166033748537,10240,320,2,1779582268,,False,10,17b67055,2026-05-23_19-24-28,6.927073001861572,70.27211570739746,11612,DESKTOP-6E08LRQ,127.0.0.1,70.27211570739746,10
29.192533440887928,0.878262305399403,11264,352,2,1779582275,,False,11,17b67055,2026-05-23_19-24-35,6.702232360839844,76.9743480682373,11612,DESKTOP-6E08LRQ,127.0.0.1,76.9743480682373,11
27.519639149308205,0.8919658900704235,12288,384,2,1779582282,,False,12,17b67055,2026-05-23_19-24-42,7.061763525009155,84.03611159324646,11612,DESKTOP-6E08LRQ,127.0.0.1,84.03611159324646,12
22.550722360610962,0.896464821882546,13312,416,2,1779582289,,False,13,17b67055,2026-05-23_19-24-49,7.0883777141571045,91.12448930740356,11612,DESKTOP-6E08LRQ,127.0.0.1,91.12448930740356,13
26.536168657243252,0.8728034691885114,14336,448,3,1779582296,,False,14,17b67055,2026-05-23_19-24-56,6.469231605529785,97.59372091293335,11612,DESKTOP-6E08LRQ,127.0.0.1,97.59372091293335,14
23.761641301214695,0.9059278562199324,15360,480,3,1779582303,,False,15,17b67055,2026-05-23_19-25-03,7.0148398876190186,104.60856080055237,11612,DESKTOP-6E08LRQ,127.0.0.1,104.60856080055237,15
28.783068247139454,0.8692155941389501,16384,512,3,1779582310,,True,16,17b67055,2026-05-23_19-25-10,7.061939716339111,111.67050051689148,11612,DESKTOP-6E08LRQ,127.0.0.1,111.67050051689148,16
