MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
62.96471333503723,0.572454018460121,1024,32,0,1779576712,,False,1,c23d44bf,2026-05-23_17-51-52,7.552436828613281,7.552436828613281,36376,DESKTOP-6E08LRQ,127.0.0.1,7.552436828613281,1
76.07508036494255,0.71315243083518,2048,64,0,1779576719,,False,2,c23d44bf,2026-05-23_17-51-59,6.689906120300293,14.242342948913574,36376,DESKTOP-6E08LRQ,127.0.0.1,14.242342948913574,2
39.12669689953327,0.8245978837367147,3072,96,0,1779576725,,False,3,c23d44bf,2026-05-23_17-52-05,6.684332609176636,20.92667555809021,36376,DESKTOP-6E08LRQ,127.0.0.1,20.92667555809021,3
33.18203853070736,0.8413922495674342,4096,128,0,1779576732,,False,4,c23d44bf,2026-05-23_17-52-12,6.846275329589844,27.772950887680054,36376,DESKTOP-6E08LRQ,127.0.0.1,27.772950887680054,4
26.823198184370995,0.8619166340213269,5120,160,1,1779576739,,False,5,c23d44bf,2026-05-23_17-52-19,6.223578214645386,33.99652910232544,36376,DESKTOP-6E08LRQ,127.0.0.1,33.99652910232544,5
34.50241558253765,0.8480104622431099,6144,192,1,1779576745,,False,6,c23d44bf,2026-05-23_17-52-25,6.37016487121582,40.36669397354126,36376,DESKTOP-6E08LRQ,127.0.0.1,40.36669397354126,6
30.311039850115776,0.8360701855272055,7168,224,1,1779576752,,False,7,c23d44bf,2026-05-23_17-52-32,6.682936429977417,47.04963040351868,36376,DESKTOP-6E08LRQ,127.0.0.1,47.04963040351868,7
35.88953000307083,0.8746390235610306,8192,256,1,1779576758,,False,8,c23d44bf,2026-05-23_17-52-38,6.216391324996948,53.266021728515625,36376,DESKTOP-6E08LRQ,127.0.0.1,53.266021728515625,8
23.546097330749035,0.8713830092456192,9216,288,2,1779576765,,False,9,c23d44bf,2026-05-23_17-52-45,6.758749008178711,60.024770736694336,36376,DESKTOP-6E08LRQ,127.0.0.1,60.024770736694336,9
27.7681293040514,0.8696373852435499,10240,320,2,1779576771,,False,10,c23d44bf,2026-05-23_17-52-51,6.578039169311523,66.60280990600586,36376,DESKTOP-6E08LRQ,127.0.0.1,66.60280990600586,10
19.98681551963091,0.8920221007429063,11264,352,2,1779576777,,False,11,c23d44bf,2026-05-23_17-52-57,6.176551580429077,72.77936148643494,36376,DESKTOP-6E08LRQ,127.0.0.1,72.77936148643494,11
25.663272231817245,0.8758944547735155,12288,384,2,1779576784,,False,12,c23d44bf,2026-05-23_17-53-04,6.953733682632446,79.73309516906738,36376,DESKTOP-6E08LRQ,127.0.0.1,79.73309516906738,12
22.664936862885952,0.8502445279154927,13312,416,2,1779576791,,False,13,c23d44bf,2026-05-23_17-53-11,6.6973395347595215,86.4304347038269,36376,DESKTOP-6E08LRQ,127.0.0.1,86.4304347038269,13
21.37086810171604,0.8967979815788567,14336,448,3,1779576797,,False,14,c23d44bf,2026-05-23_17-53-17,6.106420040130615,92.53685474395752,36376,DESKTOP-6E08LRQ,127.0.0.1,92.53685474395752,14
24.46752144396305,0.8779408705886453,15360,480,3,1779576804,,False,15,c23d44bf,2026-05-23_17-53-24,6.652223348617554,99.18907809257507,36376,DESKTOP-6E08LRQ,127.0.0.1,99.18907809257507,15
23.607366375625134,0.8890923964791,16384,512,3,1779576810,,True,16,c23d44bf,2026-05-23_17-53-30,6.40889573097229,105.59797382354736,36376,DESKTOP-6E08LRQ,127.0.0.1,105.59797382354736,16
