MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
328.72406628075987,0.11630561063066125,1024,16,0,1779711981,,False,1,cf2a87ef,2026-05-25_07-26-21,3.994194984436035,3.994194984436035,31180,DESKTOP-6E08LRQ,127.0.0.1,3.994194984436035,1
264.81615735124797,0.38207817867805716,2048,32,0,1779711985,,False,2,cf2a87ef,2026-05-25_07-26-25,3.6186554431915283,7.6128504276275635,31180,DESKTOP-6E08LRQ,127.0.0.1,7.6128504276275635,2
207.25695303827524,0.6085131194558926,3072,48,0,1779711988,,False,3,cf2a87ef,2026-05-25_07-26-28,3.566521167755127,11.17937159538269,31180,DESKTOP-6E08LRQ,127.0.0.1,11.17937159538269,3
175.5457243397832,0.651179059088463,4096,64,0,1779711992,,False,4,cf2a87ef,2026-05-25_07-26-32,3.640712261199951,14.820083856582642,31180,DESKTOP-6E08LRQ,127.0.0.1,14.820083856582642,4
170.74416504893452,0.6521166266174987,5120,80,1,1779711995,,False,5,cf2a87ef,2026-05-25_07-26-35,3.152825117111206,17.972908973693848,31180,DESKTOP-6E08LRQ,127.0.0.1,17.972908973693848,5
177.8488926589489,0.6982928588986397,6144,96,1,1779711998,,False,6,cf2a87ef,2026-05-25_07-26-38,3.1407110691070557,21.113620042800903,31180,DESKTOP-6E08LRQ,127.0.0.1,21.113620042800903,6
166.3126715598628,0.6713153140153736,7168,112,1,1779712001,,False,7,cf2a87ef,2026-05-25_07-26-41,3.177407741546631,24.291027784347534,31180,DESKTOP-6E08LRQ,127.0.0.1,24.291027784347534,7
163.09599145583343,0.653661728836596,8192,128,1,1779712005,,False,8,cf2a87ef,2026-05-25_07-26-45,3.1970949172973633,27.488122701644897,31180,DESKTOP-6E08LRQ,127.0.0.1,27.488122701644897,8
155.4736210810952,0.6909363443264738,9216,144,2,1779712007,,False,9,cf2a87ef,2026-05-25_07-26-47,2.9385764598846436,30.42669916152954,31180,DESKTOP-6E08LRQ,127.0.0.1,30.42669916152954,9
159.94674903154373,0.6832083718618378,10240,160,2,1779712010,,False,10,cf2a87ef,2026-05-25_07-26-50,3.0318081378936768,33.45850729942322,31180,DESKTOP-6E08LRQ,127.0.0.1,33.45850729942322,10
172.2940653115511,0.7026505805552006,11264,176,2,1779712014,,False,11,cf2a87ef,2026-05-25_07-26-54,3.2906501293182373,36.749157428741455,31180,DESKTOP-6E08LRQ,127.0.0.1,36.749157428741455,11
185.27530481480062,0.6911743225064129,12288,192,2,1779712017,,False,12,cf2a87ef,2026-05-25_07-26-57,3.0599565505981445,39.8091139793396,31180,DESKTOP-6E08LRQ,127.0.0.1,39.8091139793396,12
136.22042542696,0.7250795892905444,13312,208,2,1779712020,,False,13,cf2a87ef,2026-05-25_07-27-00,3.111612319946289,42.92072629928589,31180,DESKTOP-6E08LRQ,127.0.0.1,42.92072629928589,13
140.64936050772667,0.7198618361726403,14336,224,3,1779712023,,False,14,cf2a87ef,2026-05-25_07-27-03,3.307699203491211,46.2284255027771,31180,DESKTOP-6E08LRQ,127.0.0.1,46.2284255027771,14
146.9708110690117,0.7210557463113219,15360,240,3,1779712026,,False,15,cf2a87ef,2026-05-25_07-27-06,3.062838315963745,49.291263818740845,31180,DESKTOP-6E08LRQ,127.0.0.1,49.291263818740845,15
149.37569203972816,0.7156378976069391,16384,256,3,1779712029,,False,16,cf2a87ef,2026-05-25_07-27-09,2.9912235736846924,52.28248739242554,31180,DESKTOP-6E08LRQ,127.0.0.1,52.28248739242554,16
202.28061266057193,0.7032139821676537,17408,272,3,1779712033,,False,17,cf2a87ef,2026-05-25_07-27-13,3.5325205326080322,55.81500792503357,31180,DESKTOP-6E08LRQ,127.0.0.1,55.81500792503357,17
149.05543051753193,0.7085574450902641,18432,288,4,1779712036,,False,18,cf2a87ef,2026-05-25_07-27-16,2.999284505844116,58.814292430877686,31180,DESKTOP-6E08LRQ,127.0.0.1,58.814292430877686,18
171.1948122382164,0.7299111185129732,19456,304,4,1779712039,,False,19,cf2a87ef,2026-05-25_07-27-19,3.0365986824035645,61.85089111328125,31180,DESKTOP-6E08LRQ,127.0.0.1,61.85089111328125,19
175.87563899159431,0.6700831495691091,20480,320,4,1779712042,,False,20,cf2a87ef,2026-05-25_07-27-22,3.2143099308013916,65.06520104408264,31180,DESKTOP-6E08LRQ,127.0.0.1,65.06520104408264,20
146.45466554909945,0.6994795973878354,21504,336,4,1779712045,,False,21,cf2a87ef,2026-05-25_07-27-25,3.168074369430542,68.23327541351318,31180,DESKTOP-6E08LRQ,127.0.0.1,68.23327541351318,21
150.0149825969711,0.7283419882878661,22528,352,5,1779712048,,False,22,cf2a87ef,2026-05-25_07-27-28,2.974914789199829,71.20819020271301,31180,DESKTOP-6E08LRQ,127.0.0.1,71.20819020271301,22
154.5397626720369,0.7127913513686508,23552,368,5,1779712052,,False,23,cf2a87ef,2026-05-25_07-27-32,3.2384347915649414,74.44662499427795,31180,DESKTOP-6E08LRQ,127.0.0.1,74.44662499427795,23
198.00795380584896,0.6847717214841396,24576,384,5,1779712055,,False,24,cf2a87ef,2026-05-25_07-27-35,3.2886648178100586,77.73528981208801,31180,DESKTOP-6E08LRQ,127.0.0.1,77.73528981208801,24
