MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
173815.35972929,0.2801041633938439,1024,16,0,1774261871,,False,1,bc4f8377,2026-03-23_05-31-11,5.085353851318359,5.085353851318359,28172,DESKTOP-6E08LRQ,127.0.0.1,5.085353851318359,1
27164.68883895874,0.482377047999762,2048,32,0,1774261876,,False,2,bc4f8377,2026-03-23_05-31-16,4.207404375076294,9.292758226394653,28172,DESKTOP-6E08LRQ,127.0.0.1,9.292758226394653,2
31483.077417373657,0.6348194782622159,3072,48,0,1774261880,,False,3,bc4f8377,2026-03-23_05-31-20,4.6119184494018555,13.904676675796509,28172,DESKTOP-6E08LRQ,127.0.0.1,13.904676675796509,3
23276.912264823914,0.5903050251072273,4096,64,0,1774261885,,False,4,bc4f8377,2026-03-23_05-31-25,4.617090940475464,18.521767616271973,28172,DESKTOP-6E08LRQ,127.0.0.1,18.521767616271973,4
23494.711292266846,0.6719879695447162,5120,80,0,1774261891,,False,5,bc4f8377,2026-03-23_05-31-31,5.779052019119263,24.300819635391235,28172,DESKTOP-6E08LRQ,127.0.0.1,24.300819635391235,5
22949.117789268494,0.667753076297231,6144,96,0,1774261896,,False,6,bc4f8377,2026-03-23_05-31-36,5.705903053283691,30.006722688674927,28172,DESKTOP-6E08LRQ,127.0.0.1,30.006722688674927,6
18271.70877456665,0.6787272172514349,7168,112,0,1774261904,,False,7,bc4f8377,2026-03-23_05-31-44,7.191867828369141,37.19859051704407,28172,DESKTOP-6E08LRQ,127.0.0.1,37.19859051704407,7
17705.112497329712,0.5802865717560053,8192,128,0,1774261909,,False,8,bc4f8377,2026-03-23_05-31-49,5.848676443099976,43.04726696014404,28172,DESKTOP-6E08LRQ,127.0.0.1,43.04726696014404,8
33549.04134559631,0.6619724589399993,9216,144,0,1774261917,,False,9,bc4f8377,2026-03-23_05-31-57,7.245155096054077,50.29242205619812,28172,DESKTOP-6E08LRQ,127.0.0.1,50.29242205619812,9
21320.278735160828,0.7121365040075034,10240,160,0,1774261924,,False,10,bc4f8377,2026-03-23_05-32-04,6.87614107131958,57.1685631275177,28172,DESKTOP-6E08LRQ,127.0.0.1,57.1685631275177,10
18660.200489997864,0.7232819339260459,11264,176,0,1774261929,,False,11,bc4f8377,2026-03-23_05-32-09,5.800921440124512,62.96948456764221,28172,DESKTOP-6E08LRQ,127.0.0.1,62.96948456764221,11
20202.65754508972,0.7158608441241086,12288,192,0,1774261936,,False,12,bc4f8377,2026-03-23_05-32-16,6.156082630157471,69.12556719779968,28172,DESKTOP-6E08LRQ,127.0.0.1,69.12556719779968,12
27561.390385627747,0.6939825306180865,13312,208,0,1774261942,,False,13,bc4f8377,2026-03-23_05-32-22,6.14996337890625,75.27553057670593,28172,DESKTOP-6E08LRQ,127.0.0.1,75.27553057670593,13
17238.031503677368,0.7060524651315063,14336,224,0,1774261948,,False,14,bc4f8377,2026-03-23_05-32-28,6.56773042678833,81.84326100349426,28172,DESKTOP-6E08LRQ,127.0.0.1,81.84326100349426,14
17261.786482810974,0.6941002982202917,15360,240,0,1774261955,,False,15,bc4f8377,2026-03-23_05-32-35,6.309863567352295,88.15312457084656,28172,DESKTOP-6E08LRQ,127.0.0.1,88.15312457084656,15
21853.285358667374,0.6788660907186568,16384,256,0,1774261961,,True,16,bc4f8377,2026-03-23_05-32-41,6.049514293670654,94.20263886451721,28172,DESKTOP-6E08LRQ,127.0.0.1,94.20263886451721,16
