MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
30447.088453292847,0.49896978109609336,1024,32,0,1777933911,,False,1,33cfa556,2026-05-04_17-31-51,9.413022518157959,9.413022518157959,30212,DESKTOP-6E08LRQ,127.0.0.1,9.413022518157959,1
28205.352381706238,0.5218885758658871,2048,64,0,1777933919,,False,2,33cfa556,2026-05-04_17-31-59,8.437015295028687,17.850037813186646,30212,DESKTOP-6E08LRQ,127.0.0.1,17.850037813186646,2
26391.4244556427,0.5430523470276967,3072,96,0,1777933927,,False,3,33cfa556,2026-05-04_17-32-07,7.937688112258911,25.787725925445557,30212,DESKTOP-6E08LRQ,127.0.0.1,25.787725925445557,3
23951.017681598663,0.6175841343356296,4096,128,0,1777933936,,False,4,33cfa556,2026-05-04_17-32-16,8.230958223342896,34.01868414878845,30212,DESKTOP-6E08LRQ,127.0.0.1,34.01868414878845,4
22406.172532081604,0.6448532247450203,5120,160,0,1777933944,,False,5,33cfa556,2026-05-04_17-32-24,8.301165580749512,42.319849729537964,30212,DESKTOP-6E08LRQ,127.0.0.1,42.319849729537964,5
18524.19025039673,0.649880466517061,6144,192,0,1777933952,,False,6,33cfa556,2026-05-04_17-32-32,7.828922271728516,50.14877200126648,30212,DESKTOP-6E08LRQ,127.0.0.1,50.14877200126648,6
21542.886785507202,0.6869569139089435,7168,224,0,1777933960,,False,7,33cfa556,2026-05-04_17-32-40,8.119985103607178,58.26875710487366,30212,DESKTOP-6E08LRQ,127.0.0.1,58.26875710487366,7
21529.681983470917,0.6386530271265656,8192,256,0,1777933968,,False,8,33cfa556,2026-05-04_17-32-48,8.41105341911316,66.67981052398682,30212,DESKTOP-6E08LRQ,127.0.0.1,66.67981052398682,8
18959.446855068207,0.6646012496203184,9216,288,0,1777933977,,False,9,33cfa556,2026-05-04_17-32-57,8.311908483505249,74.99171900749207,30212,DESKTOP-6E08LRQ,127.0.0.1,74.99171900749207,9
12472.822019577026,0.6815752910915762,10240,320,0,1777933985,,False,10,33cfa556,2026-05-04_17-33-05,8.10421633720398,83.09593534469604,30212,DESKTOP-6E08LRQ,127.0.0.1,83.09593534469604,10
16453.483291864395,0.6787676445674151,11264,352,0,1777933992,,False,11,33cfa556,2026-05-04_17-33-12,7.762973785400391,90.85890913009644,30212,DESKTOP-6E08LRQ,127.0.0.1,90.85890913009644,11
23058.07817840576,0.7093325634486973,12288,384,0,1777934001,,False,12,33cfa556,2026-05-04_17-33-21,8.554470777511597,99.41337990760803,30212,DESKTOP-6E08LRQ,127.0.0.1,99.41337990760803,12
20711.698203086853,0.7166725087445229,13312,416,0,1777934010,,False,13,33cfa556,2026-05-04_17-33-30,8.86016583442688,108.27354574203491,30212,DESKTOP-6E08LRQ,127.0.0.1,108.27354574203491,13
20898.112488031387,0.7151774961967021,14336,448,0,1777934019,,False,14,33cfa556,2026-05-04_17-33-39,8.827597618103027,117.10114336013794,30212,DESKTOP-6E08LRQ,127.0.0.1,117.10114336013794,14
12648.675491333008,0.7309224605560303,15360,480,0,1777934027,,False,15,33cfa556,2026-05-04_17-33-47,8.551624536514282,125.65276789665222,30212,DESKTOP-6E08LRQ,127.0.0.1,125.65276789665222,15
21566.003648757935,0.5959690109593794,16384,512,0,1777934036,,True,16,33cfa556,2026-05-04_17-33-56,8.31979250907898,133.9725604057312,30212,DESKTOP-6E08LRQ,127.0.0.1,133.9725604057312,16
