MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
25913.857144355774,0.42904832410567906,1024,32,0,1777941871,,False,1,334c2498,2026-05-04_19-44-31,7.9801859855651855,7.9801859855651855,9888,DESKTOP-6E08LRQ,127.0.0.1,7.9801859855651855,1
18099.275284290314,0.6133705394458957,2048,64,0,1777941879,,False,2,334c2498,2026-05-04_19-44-39,7.272611856460571,15.252797842025757,9888,DESKTOP-6E08LRQ,127.0.0.1,15.252797842025757,2
18963.79387807846,0.5928318533115089,3072,96,0,1777941886,,False,3,334c2498,2026-05-04_19-44-46,7.736873626708984,22.98967146873474,9888,DESKTOP-6E08LRQ,127.0.0.1,22.98967146873474,3
17549.778857588768,0.6672168674413115,4096,128,0,1777941895,,False,4,334c2498,2026-05-04_19-44-55,8.186296701431274,31.175968170166016,9888,DESKTOP-6E08LRQ,127.0.0.1,31.175968170166016,4
23215.694767951965,0.6276366605889052,5120,160,0,1777941903,,False,5,334c2498,2026-05-04_19-45-03,8.460274696350098,39.63624286651611,9888,DESKTOP-6E08LRQ,127.0.0.1,39.63624286651611,5
21232.99574661255,0.69968331605196,6144,192,0,1777941911,,False,6,334c2498,2026-05-04_19-45-11,7.471117258071899,47.10736012458801,9888,DESKTOP-6E08LRQ,127.0.0.1,47.10736012458801,6
16964.719630241394,0.6556188371032476,7168,224,0,1777941918,,False,7,334c2498,2026-05-04_19-45-18,7.425976514816284,54.5333366394043,9888,DESKTOP-6E08LRQ,127.0.0.1,54.5333366394043,7
21810.010157585144,0.6923309622798115,8192,256,0,1777941926,,False,8,334c2498,2026-05-04_19-45-26,8.028801202774048,62.562137842178345,9888,DESKTOP-6E08LRQ,127.0.0.1,62.562137842178345,8
17287.220337867737,0.6906732136849314,9216,288,0,1777941934,,False,9,334c2498,2026-05-04_19-45-34,8.102518320083618,70.66465616226196,9888,DESKTOP-6E08LRQ,127.0.0.1,70.66465616226196,9
20942.39373588562,0.7048397953622043,10240,320,0,1777941942,,False,10,334c2498,2026-05-04_19-45-42,8.075396299362183,78.74005246162415,9888,DESKTOP-6E08LRQ,127.0.0.1,78.74005246162415,10
21197.559955596924,0.7062351058702916,11264,352,0,1777941950,,False,11,334c2498,2026-05-04_19-45-50,7.894726753234863,86.63477921485901,9888,DESKTOP-6E08LRQ,127.0.0.1,86.63477921485901,11
16373.896814346313,0.6890492581296712,12288,384,0,1777941958,,False,12,334c2498,2026-05-04_19-45-58,7.964165925979614,94.59894514083862,9888,DESKTOP-6E08LRQ,127.0.0.1,94.59894514083862,12
15991.256439208984,0.7336844238452613,13312,416,0,1777941966,,False,13,334c2498,2026-05-04_19-46-06,8.227512836456299,102.82645797729492,9888,DESKTOP-6E08LRQ,127.0.0.1,102.82645797729492,13
16241.799032211304,0.6900562811642885,14336,448,0,1777941974,,False,14,334c2498,2026-05-04_19-46-14,7.642213582992554,110.46867156028748,9888,DESKTOP-6E08LRQ,127.0.0.1,110.46867156028748,14
