MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
29120.27777862549,0.31676569039700553,1024,32,0,1777924372,,False,1,ba7c8534,2026-05-04_14-52-52,9.319252490997314,9.319252490997314,21072,DESKTOP-6E08LRQ,127.0.0.1,9.319252490997314,1
23876.47749710083,0.5378709102515131,2048,64,0,1777924381,,False,2,ba7c8534,2026-05-04_14-53-01,9.127315044403076,18.44656753540039,21072,DESKTOP-6E08LRQ,127.0.0.1,18.44656753540039,2
22091.349842071533,0.5818634935421869,3072,96,0,1777924389,,False,3,ba7c8534,2026-05-04_14-53-09,8.56798005104065,27.01454758644104,21072,DESKTOP-6E08LRQ,127.0.0.1,27.01454758644104,3
18271.218006134033,0.638882661354728,4096,128,0,1777924398,,False,4,ba7c8534,2026-05-04_14-53-18,8.417787075042725,35.432334661483765,21072,DESKTOP-6E08LRQ,127.0.0.1,35.432334661483765,4
21819.665952682495,0.6282341891201213,5120,160,0,1777924406,,False,5,ba7c8534,2026-05-04_14-53-26,8.517027854919434,43.9493625164032,21072,DESKTOP-6E08LRQ,127.0.0.1,43.9493625164032,5
20305.394826889038,0.6428956623421982,6144,192,0,1777924416,,False,6,ba7c8534,2026-05-04_14-53-36,9.521084547042847,53.470447063446045,21072,DESKTOP-6E08LRQ,127.0.0.1,53.470447063446045,6
21078.514187812805,0.6457542200805619,7168,224,0,1777924425,,False,7,ba7c8534,2026-05-04_14-53-45,8.867035150527954,62.337482213974,21072,DESKTOP-6E08LRQ,127.0.0.1,62.337482213974,7
17075.20908355713,0.652822956093587,8192,256,0,1777924434,,False,8,ba7c8534,2026-05-04_14-53-54,8.81621241569519,71.15369462966919,21072,DESKTOP-6E08LRQ,127.0.0.1,71.15369462966919,8
20829.721603393555,0.6111088749021292,9216,288,0,1777924442,,False,9,ba7c8534,2026-05-04_14-54-02,8.967788696289062,80.12148332595825,21072,DESKTOP-6E08LRQ,127.0.0.1,80.12148332595825,9
22988.177864074707,0.6566257026279345,10240,320,0,1777924451,,False,10,ba7c8534,2026-05-04_14-54-11,8.936020851135254,89.0575041770935,21072,DESKTOP-6E08LRQ,127.0.0.1,89.0575041770935,10
22312.17140197754,0.6128965186653659,11264,352,0,1777924460,,False,11,ba7c8534,2026-05-04_14-54-20,8.961528062820435,98.01903223991394,21072,DESKTOP-6E08LRQ,127.0.0.1,98.01903223991394,11
20571.14080619812,0.6177594673354179,12288,384,0,1777924470,,False,12,ba7c8534,2026-05-04_14-54-30,9.605083227157593,107.62411546707153,21072,DESKTOP-6E08LRQ,127.0.0.1,107.62411546707153,12
22608.90775871277,0.6306944203097373,13312,416,0,1777924479,,False,13,ba7c8534,2026-05-04_14-54-39,8.905909061431885,116.53002452850342,21072,DESKTOP-6E08LRQ,127.0.0.1,116.53002452850342,13
23495.33397912979,0.6376635715132579,14336,448,0,1777924489,,False,14,ba7c8534,2026-05-04_14-54-49,10.573885679244995,127.10391020774841,21072,DESKTOP-6E08LRQ,127.0.0.1,127.10391020774841,14
18262.68861579895,0.6859351865714416,15360,480,0,1777924499,,False,15,ba7c8534,2026-05-04_14-54-59,9.62716269493103,136.73107290267944,21072,DESKTOP-6E08LRQ,127.0.0.1,136.73107290267944,15
18585.203587532043,0.6952124547678977,16384,512,0,1777924508,,True,16,ba7c8534,2026-05-04_14-55-08,9.35490107536316,146.0859739780426,21072,DESKTOP-6E08LRQ,127.0.0.1,146.0859739780426,16
