MSE,SSIM,example_num,batch_step,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
463200.93758010864,0.13063114155374933,1024,16,0,1777925151,,False,1,eef2f8b3,2026-05-04_15-05-51,6.932607650756836,6.932607650756836,37724,DESKTOP-6E08LRQ,127.0.0.1,6.932607650756836,1
48466.86594772339,0.41959654388483614,2048,32,0,1777925158,,False,2,eef2f8b3,2026-05-04_15-05-58,6.646592617034912,13.579200267791748,37724,DESKTOP-6E08LRQ,127.0.0.1,13.579200267791748,2
29366.672885894775,0.28568227880168706,3072,48,0,1777925164,,False,3,eef2f8b3,2026-05-04_15-06-04,6.631585597991943,20.21078586578369,37724,DESKTOP-6E08LRQ,127.0.0.1,20.21078586578369,3
15045.78568649292,0.6194167210487649,4096,64,0,1777925171,,False,4,eef2f8b3,2026-05-04_15-06-11,6.800928592681885,27.011714458465576,37724,DESKTOP-6E08LRQ,127.0.0.1,27.011714458465576,4
22444.809076309204,0.6420973988715559,5120,80,0,1777925178,,False,5,eef2f8b3,2026-05-04_15-06-18,6.79012393951416,33.801838397979736,37724,DESKTOP-6E08LRQ,127.0.0.1,33.801838397979736,5
26940.94878101349,0.614875991246663,6144,96,0,1777925185,,False,6,eef2f8b3,2026-05-04_15-06-25,6.872791767120361,40.6746301651001,37724,DESKTOP-6E08LRQ,127.0.0.1,40.6746301651001,6
18309.762321472168,0.5898479898460209,7168,112,0,1777925191,,False,7,eef2f8b3,2026-05-04_15-06-31,6.394624710083008,47.069254875183105,37724,DESKTOP-6E08LRQ,127.0.0.1,47.069254875183105,7
17989.266973495483,0.6264749710680917,8192,128,0,1777925198,,False,8,eef2f8b3,2026-05-04_15-06-38,6.768995046615601,53.838249921798706,37724,DESKTOP-6E08LRQ,127.0.0.1,53.838249921798706,8
27185.39457321167,0.6480944595532492,9216,144,0,1777925205,,False,9,eef2f8b3,2026-05-04_15-06-45,7.294301986694336,61.13255190849304,37724,DESKTOP-6E08LRQ,127.0.0.1,61.13255190849304,9
13974.752261161804,0.6641419890802354,10240,160,0,1777925212,,False,10,eef2f8b3,2026-05-04_15-06-52,6.538491725921631,67.67104363441467,37724,DESKTOP-6E08LRQ,127.0.0.1,67.67104363441467,10
21933.65657234192,0.6683350331149995,11264,176,0,1777925219,,False,11,eef2f8b3,2026-05-04_15-06-59,6.973539113998413,74.64458274841309,37724,DESKTOP-6E08LRQ,127.0.0.1,74.64458274841309,11
25536.893361091614,0.5167827707482502,12288,192,0,1777925226,,False,12,eef2f8b3,2026-05-04_15-07-06,6.9111902713775635,81.55577301979065,37724,DESKTOP-6E08LRQ,127.0.0.1,81.55577301979065,12
18082.703022956848,0.6655057129682973,13312,208,0,1777925232,,False,13,eef2f8b3,2026-05-04_15-07-12,6.747109651565552,88.3028826713562,37724,DESKTOP-6E08LRQ,127.0.0.1,88.3028826713562,13
20557.542368888855,0.6305852517252788,14336,224,0,1777925239,,False,14,eef2f8b3,2026-05-04_15-07-19,6.825314998626709,95.12819766998291,37724,DESKTOP-6E08LRQ,127.0.0.1,95.12819766998291,14
23822.121658325195,0.5536348824389279,15360,240,0,1777925246,,False,15,eef2f8b3,2026-05-04_15-07-26,6.8870909214019775,102.01528859138489,37724,DESKTOP-6E08LRQ,127.0.0.1,102.01528859138489,15
30723.154762268066,0.656230644788593,16384,256,0,1777925253,,True,16,eef2f8b3,2026-05-04_15-07-33,6.588829040527344,108.60411763191223,37724,DESKTOP-6E08LRQ,127.0.0.1,108.60411763191223,16
